scenario,tau_t,config,threshold,n_chains,attack_chain_total_strength,attack_chain_mean_strength,attack_chain_n_events,attack_chain_n_pairs,attack_chain_is_cross_domain,attack_connectivity,noise_inclusion,max_other_chain_strength,separation_ratio
mmsi,150.0,topology-heavy,0.1,1,1.404923137547713,0.200703305363959,6,7,True,0.75,0,0.0,0.0
mmsi,150.0,topology-heavy,0.15,1,1.1606429513056271,0.23212859026112542,6,5,True,0.75,0,0.0,0.0
mmsi,150.0,topology-heavy,0.2,1,0.996765918733397,0.24919147968334926,5,4,True,0.625,0,0.0,0.0
mmsi,150.0,topology-heavy,0.3,0,0.0,0.0,0,0,False,0.0,0,0.0,0.0
mmsi,150.0,topology-heavy,0.5,0,0.0,0.0,0,0,False,0.0,0,0.0,0.0
mmsi,150.0,cross-heavy,0.0,1,1.3505491441175215,0.051944197850673904,8,26,True,1.0,0,0.0,0.0
mmsi,150.0,cross-heavy,0.05,1,1.0483079723137732,0.14975828175911046,6,7,True,0.75,0,0.0,0.0
mmsi,150.0,cross-heavy,0.1,1,0.9747305291180781,0.16245508818634635,6,6,True,0.75,0,0.0,0.0
mmsi,150.0,cross-heavy,0.15,1,0.5048230130371303,0.25241150651856514,3,2,True,0.375,0,0.0,0.0
mmsi,150.0,cross-heavy,0.2,1,0.5048230130371303,0.25241150651856514,3,2,True,0.375,0,0.0,0.0
mmsi,150.0,cross-heavy,0.3,0,0.0,0.0,0,0,False,0.0,0,0.0,0.0
mmsi,150.0,cross-heavy,0.5,0,0.0,0.0,0,0,False,0.0,0,0.0,0.0
mmsi,150.0,evidence-light,0.0,1,1.111357510701912,0.04274451964238123,8,26,True,1.0,0,0.0,0.0
mmsi,150.0,evidence-light,0.05,1,0.9123731030417045,0.11404663788021306,7,8,True,0.875,0,0.0,0.0
mmsi,150.0,evidence-light,0.1,1,0.6248390729931532,0.1562097682482883,5,4,True,0.625,0,0.0,0.0
mmsi,150.0,evidence-light,0.15,1,0.2718277762507624,0.2718277762507624,2,1,False,0.25,0,0.0,0.0
mmsi,150.0,evidence-light,0.2,1,0.2718277762507624,0.2718277762507624,2,1,False,0.25,0,0.0,0.0
mmsi,150.0,evidence-light,0.3,0,0.0,0.0,0,0,False,0.0,0,0.0,0.0
